,code,region,Value,Outlet_Type,year,month
344,11A0107,Espinho,,Industrial,2024,9
345,11A1304,Gondomar,,Industrial,2024,9
346,11A1306,Maia,,Industrial,2024,9
347,11A1308,Matosinhos,,Industrial,2024,9
348,11A0113,Oliveira de Azeméis,,Industrial,2024,9
349,11A1310,Paredes,,Industrial,2024,9
350,11A1312,Porto,,Industrial,2024,9
351,11A1313,Póvoa de Varzim,,Industrial,2024,9
352,11A0109,Santa Maria da Feira,,Industrial,2024,9
353,11A1314,Santo Tirso,,Industrial,2024,9
354,11A0116,São João da Madeira,,Industrial,2024,9
355,11A1318,Trofa,,Industrial,2024,9
356,11A0119,Vale de Cambra,,Industrial,2024,9
357,11A1315,Valongo,,Industrial,2024,9
358,11A1316,Vila do Conde,,Industrial,2024,9
359,11A1317,Vila Nova de Gaia,,Industrial,2024,9
360,11A,Área Metropolitana do Porto,2128,Total,2024,8
361,11A0104,Arouca,9,Total,2024,8
362,11A0107,Espinho,24,Total,2024,8
363,11A1304,Gondomar,103,Total,2024,8
364,11A1306,Maia,161,Total,2024,8
365,11A1308,Matosinhos,344,Total,2024,8
366,11A0113,Oliveira de Azeméis,18,Total,2024,8
367,11A1310,Paredes,51,Total,2024,8
368,11A1312,Porto,500,Total,2024,8
369,11A1313,Póvoa de Varzim,85,Total,2024,8
370,11A0109,Santa Maria da Feira,178,Total,2024,8
371,11A1314,Santo Tirso,56,Total,2024,8
372,11A0116,São João da Madeira,28,Total,2024,8
373,11A1318,Trofa,33,Total,2024,8
374,11A0119,Vale de Cambra,12,Total,2024,8
375,11A1315,Valongo,95,Total,2024,8
376,11A1316,Vila do Conde,81,Total,2024,8
377,11A1317,Vila Nova de Gaia,350,Total,2024,8
378,11A,Área Metropolitana do Porto,1390,Mennekes,2024,8
379,11A0104,Arouca,7,Mennekes,2024,8
380,11A0107,Espinho,16,Mennekes,2024,8
381,11A1304,Gondomar,63,Mennekes,2024,8
382,11A1306,Maia,116,Mennekes,2024,8
383,11A1308,Matosinhos,237,Mennekes,2024,8
384,11A0113,Oliveira de Azeméis,11,Mennekes,2024,8
385,11A1310,Paredes,28,Mennekes,2024,8
386,11A1312,Porto,353,Mennekes,2024,8
387,11A1313,Póvoa de Varzim,50,Mennekes,2024,8
388,11A0109,Santa Maria da Feira,126,Mennekes,2024,8
389,11A1314,Santo Tirso,24,Mennekes,2024,8
390,11A0116,São João da Madeira,18,Mennekes,2024,8
391,11A1318,Trofa,15,Mennekes,2024,8
392,11A0119,Vale de Cambra,5,Mennekes,2024,8
393,11A1315,Valongo,46,Mennekes,2024,8
394,11A1316,Vila do Conde,53,Mennekes,2024,8
395,11A1317,Vila Nova de Gaia,222,Mennekes,2024,8
396,11A,Área Metropolitana do Porto,305,CHAdeMO,2024,8
397,11A0104,Arouca,1,CHAdeMO,2024,8
398,11A0107,Espinho,4,CHAdeMO,2024,8
399,11A1304,Gondomar,15,CHAdeMO,2024,8
400,11A1306,Maia,18,CHAdeMO,2024,8
401,11A1308,Matosinhos,39,CHAdeMO,2024,8
402,11A0113,Oliveira de Azeméis,3,CHAdeMO,2024,8
403,11A1310,Paredes,11,CHAdeMO,2024,8
404,11A1312,Porto,67,CHAdeMO,2024,8
405,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,8
406,11A0109,Santa Maria da Feira,19,CHAdeMO,2024,8
407,11A1314,Santo Tirso,15,CHAdeMO,2024,8
408,11A0116,São João da Madeira,4,CHAdeMO,2024,8
409,11A1318,Trofa,8,CHAdeMO,2024,8
410,11A0119,Vale de Cambra,4,CHAdeMO,2024,8
411,11A1315,Valongo,20,CHAdeMO,2024,8
412,11A1316,Vila do Conde,9,CHAdeMO,2024,8
413,11A1317,Vila Nova de Gaia,56,CHAdeMO,2024,8
414,11A,Área Metropolitana do Porto,433,CCS,2024,8
415,11A0104,Arouca,1,CCS,2024,8
416,11A0107,Espinho,4,CCS,2024,8
417,11A1304,Gondomar,25,CCS,2024,8
418,11A1306,Maia,27,CCS,2024,8
419,11A1308,Matosinhos,68,CCS,2024,8
420,11A0113,Oliveira de Azeméis,4,CCS,2024,8
421,11A1310,Paredes,12,CCS,2024,8
422,11A1312,Porto,80,CCS,2024,8
423,11A1313,Póvoa de Varzim,23,CCS,2024,8
424,11A0109,Santa Maria da Feira,33,CCS,2024,8
425,11A1314,Santo Tirso,17,CCS,2024,8
426,11A0116,São João da Madeira,6,CCS,2024,8
427,11A1318,Trofa,10,CCS,2024,8
428,11A0119,Vale de Cambra,3,CCS,2024,8
429,11A1315,Valongo,29,CCS,2024,8
430,11A1316,Vila do Conde,19,CCS,2024,8
431,11A1317,Vila Nova de Gaia,72,CCS,2024,8
432,11A,Área Metropolitana do Porto,,Industrial,2024,8
433,11A0104,Arouca,,Industrial,2024,8
434,11A0107,Espinho,,Industrial,2024,8
435,11A1304,Gondomar,,Industrial,2024,8
436,11A1306,Maia,,Industrial,2024,8
437,11A1308,Matosinhos,,Industrial,2024,8
438,11A0113,Oliveira de Azeméis,,Industrial,2024,8
439,11A1310,Paredes,,Industrial,2024,8
