,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
4851,1312D2087100,Porto,Porto,"41.15585190646605, -8.63005586869367",2000,20%-39%,Cabine baixa em edifício próprio,2371.56,167,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3517.0;3414.75;1380.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
4852,1312D2017900,Porto,Porto,"41.157697838651416, -8.626898211830683",630,0%-19%,Cabine baixa em edifício próprio,883.55,108,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;4389.5;3682.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
4856,1315D2047000,Porto,Valongo,"41.17640928342152, -8.452428714421007",400,20%-39%,Cabine alta,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.75;923.75;5452.5;917.0;794.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
4857,1315D2053100,Porto,Valongo,"41.20204123717767, -8.462547787498469",400,N/D,Cabine pré-fabricada,630.52,65,N/D,<20,,13,1315
4858,1315D2048500,Porto,Valongo,"41.20040053888837, -8.513814935562268",630,20%-39%,Cabine metálica (monobloco),927.97,136,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4103.0;4115.25;93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
4859,1315D2015000,Porto,Valongo,"41.23230010933082, -8.521506706223262",400,20%-39%,Cabine baixa em edifício próprio,1338.04,192,50.18,31,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1424.25;5390.0;1498.75;3.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
4860,1315D2040900,Porto,Valongo,"41.19528355836525, -8.515886626370927",630,0%-19%,Cabine baixa em edifício próprio,338.41,60,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
4861,1313D2034800,Porto,Póvoa de Varzim,"41.389374787854216, -8.759004159132509",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8311.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
4862,1310D2026600,Porto,Paredes,"41.206498798001384, -8.333588425863013",630,0%-19%,Cabine baixa integrada em edifício,882.05,135,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6218.0;2094.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
4863,1317D2057100,Porto,Vila Nova de Gaia,"41.08730933921362, -8.637505485647177",630,20%-39%,Cabine alta,1272.90,181,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;4404.25;3112.25;785.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
4865,1308D2008500,Porto,Matosinhos,"41.18658781691907, -8.6476194852714",630,20%-39%,Cabine alta,1115.50,187,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1285.75;5534.25;1480.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
4866,1306D2054700,Porto,Maia,"41.24826678424468, -8.638312086834889",400,20%-39%,Cabine baixa integrada em edifício,786.23,121,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2112.5;5516.25;684.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
4867,1318D2021300,Porto,Trofa,"41.32702643513429, -8.627518556099739",100,40%-59%,Aéreo - AS,280.48,45,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.25;2779.5;3754.75;1517.0;236.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
4964,0104D2014300,Aveiro,Arouca,"40.91659962318002, -8.30222113876113",160,0%-19%,Aéreo - AI,202.89,33,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4122.5;4189.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
5009,1312D2026300,Porto,Porto,"41.16408043710754, -8.636601478589762",630,20%-39%,Cabine baixa em edifício próprio,1804.73,267,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0;4061.5;3010.25;1116.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5010,1312D2146400,Porto,Porto,"41.173503112151984, -8.643799603520824",0,N/D,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,,13,1312
5011,1312D2070500,Porto,Porto,"41.177185321542844, -8.628714150159421",400,20%-39%,Cabine baixa integrada em edifício,1018.05,153,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1529.5;5391.0;1395.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5012,1312D2999100,Porto,Porto,"41.16088032011847, -8.587679945376605",630,N/D,Cabine baixa integrada em edifício,423.21,54,N/D,<20,,13,1312
5013,1312D2012300,Porto,Porto,"41.15342924721173, -8.653317669798001",630,20%-39%,Cabine baixa em edifício próprio,1124.26,227,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;274.0;4140.0;3761.75;136.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5014,1315D2040800,Porto,Valongo,"41.19726950283988, -8.51617084509575",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8550.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
5015,1315D2012700,Porto,Valongo,"41.22680733140402, -8.535625576068758",160,40%-59%,Aéreo - AI,1229.21,150,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.25;1522.0;3067.25;2156.0;1190.0;373.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
5016,1317D2067600,Porto,Vila Nova de Gaia,"41.094276400297744, -8.600440912923938",630,0%-19%,Cabine baixa em edifício próprio,955.66,142,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4260.5;4046.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
5017,1317D2030300,Porto,Vila Nova de Gaia,"41.12773039187654, -8.633348286485822",1260,0%-19%,Cabine baixa em edifício próprio,2830.50,409,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3986.25;4324.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
5018,1317D2064200,Porto,Vila Nova de Gaia,"41.076469245400745, -8.576908163135249",400,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.25;8338.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
5020,1306D2089200,Porto,Maia,"41.228516281064216, -8.62907099889862",1260,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2311.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5021,1306D2064300,Porto,Maia,"41.23493254634454, -8.62495834809415",630,20%-39%,Cabine baixa integrada em edifício,1474.74,184,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3466.5;4838.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5022,1306D2069300,Porto,Maia,"41.187618839938914, -8.58168858945138",250,20%-39%,Cabine pré-fabricada,524.05,53,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.5;389.5;792.0;3798.5;1932.5;1348.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5023,1310D2022200,Porto,Paredes,"41.19079737996654, -8.42834784524298",250,80%-99%,Cabine alta,1200.81,147,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.75;71.5;237.5;984.25;1647.25;1900.75;1616.25;1180.5;654.75;10.75;0.0;0.0;0.0),13,1310
5025,1304D2023700,Porto,Gondomar,"41.172098366802935, -8.529192435503898",250,40%-59%,Cabine alta,702.67,79,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.25;108.25;1372.25;2892.0;2132.25;1380.75;419.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5026,1304D2053900,Porto,Gondomar,"41.202088432490754, -8.531246824317419",630,0%-19%,Cabine alta,617.89,33,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;717.25;6753.0;836.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5028,1314D2019300,Porto,Santo Tirso,"41.35797924813903, -8.492385663043821",160,0%-19%,Cabine metálica (monobloco),N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;279.75;1796.0;5832.0;377.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
5045,0109D2027500,Aveiro,Santa Maria da Feira,"40.921923715100064, -8.498445608323257",250,20%-39%,Cabine alta,565.19,63,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1563.0;4854.25;1879.25;21.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
5048,0113D2019200,Aveiro,Oliveira de Azeméis,"40.8055719361385, -8.483524112186043",250,40%-59%,Aéreo - AI,1154.06,164,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2893.5;3717.5;1479.0;221.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
5145,1312D2071000,Porto,Porto,"41.143646019519565, -8.618463811582084",630,20%-39%,Cabine baixa em edifício próprio,1857.83,290,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;777.75;5131.75;2401.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5146,1312D2134100,Porto,Porto,"41.179426478523325, -8.617245905720745",0,N/D,Cabine pré-fabricada,N/D,<20,N/D,<20,,13,1312
5153,0113D2005600,Aveiro,Oliveira de Azeméis,"40.87425768672404, -8.507140757917604",315,40%-59%,Cabine alta,1326.56,174,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1810.25;4264.75;2060.0;177.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
5154,0113D2033600,Aveiro,Oliveira de Azeméis,"40.84493219577176, -8.46510547943806",250,0%-19%,Cabine pré-fabricada,362.25,56,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7159.25;1176.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
5157,0109D2043300,Aveiro,Santa Maria da Feira,"40.96432892672233, -8.504485563650233",630,0%-19%,Cabine baixa em edifício próprio,485.58,58,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8318.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
5158,0109D2067300,Aveiro,Santa Maria da Feira,"40.92140103701016, -8.52514747580341",400,20%-39%,Cabine pré-fabricada,508.41,41,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.0;5781.5;1508.25;926.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
5159,0109D2004700,Aveiro,Santa Maria da Feira,"40.985628467394385, -8.558080561546872",630,0%-19%,Cabine alta,1219.43,161,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4567.75;3744.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
5171,1317D2063800,Porto,Vila Nova de Gaia,"41.08368438125503, -8.63667570080383",630,0%-19%,Cabine baixa em edifício próprio,538.84,59,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8253.5;71.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
5172,1317D2096400,Porto,Vila Nova de Gaia,"41.10897339941495, -8.601451471319464",630,0%-19%,Cabine baixa em edifício próprio,1305.29,178,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4712.0;3603.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
5201,1306D2034700,Porto,Maia,"41.223999997981494, -8.607177129450967",1000,N/D,Cabine metálica (monobloco),1889.05,283,N/D,<20,,13,1306
5202,1306D2028400,Porto,Maia,"41.2483059636871, -8.627432863111107",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;679.0;6589.0;1034.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5207,1304D2041100,Porto,Gondomar,"41.15568704740732, -8.525243995657245",250,0%-19%,Cabine alta,259.64,31,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7060.5;1253.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5208,1316D2013400,Porto,Vila do Conde,"41.34226794809224, -8.708993404914162",250,0%-19%,Cabine alta,475.62,69,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4753.5;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
5227,1308D2035000,Porto,Matosinhos,"41.1901323626962, -8.660239212846829",800,0%-19%,Cabine baixa em edifício próprio,1117.80,152,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7690.0;633.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
5243,1315D2012300,Porto,Valongo,"41.208009306167675, -8.548639125102598",400,40%-59%,Cabine alta,1782.09,287,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2491.75;3106.25;1917.25;734.25;59.25;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
5246,1310D2035500,Porto,Paredes,"41.2014121345047, -8.435447165443787",160,60%-79%,Aéreo - AI,416.30,54,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;194.25;2617.0;2166.25;1489.0;991.5;547.25;306.25;0.0;0.0;0.0;0.0),13,1310
5281,1318D2001200,Porto,Trofa,"41.303307555287915, -8.540740212207748",100,20%-39%,Cabine alta,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5484.5;2011.5;509.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
5289,0107D2001500,Aveiro,Espinho,"40.99858604306242, -8.641903032971038",200,0%-19%,Cabine baixa integrada em edifício,405.04,58,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4970.25;3348.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,107
5307,1306D2031600,Porto,Maia,"41.23707488033732, -8.609833878979751",400,0%-19%,Cabine baixa integrada em edifício,268.25,23,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6711.0;1616.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5308,1306D2038800,Porto,Maia,"41.23286552115379, -8.626660004564341",400,0%-19%,Cabine baixa integrada em edifício,248.40,34,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8319.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5309,1306D2050900,Porto,Maia,"41.229766575306385, -8.612551133357314",1260,0%-19%,Cabine baixa em edifício próprio,2252.85,332,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6258.0;2056.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5310,1306D2019300,Porto,Maia,"41.25902957255751, -8.617740511387984",400,20%-39%,Cabine baixa integrada em edifício,699.59,92,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4056.0;3908.25;347.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
5320,1308D2005500,Porto,Matosinhos,"41.1817494276022, -8.689256891094809",630,40%-59%,Cabine baixa em edifício próprio,2614.94,326,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1457.75;2358.5;2838.25;1551.25;11.5;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
5321,1308D2008000,Porto,Matosinhos,"41.220816009330456, -8.687849899474283",630,20%-39%,Cabine alta,1781.61,235,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;512.75;3466.25;3306.0;1024.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
5322,1308D2050700,Porto,Matosinhos,"41.18102882254279, -8.657417280362653",1890,0%-19%,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4720.5;3589.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
5323,1308D2048800,Porto,Matosinhos,"41.185809369848954, -8.681130511830482",800,0%-19%,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8285.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
5326,1316D2018000,Porto,Vila do Conde,"41.30504938325282, -8.674921412990006",100,40%-59%,Cabine alta,596.30,99,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;1240.0;3034.25;1996.75;1326.5;719.75;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
5327,1316D2004700,Porto,Vila do Conde,"41.36220292319591, -8.643315362853661",160,20%-39%,Cabine alta,489.90,57,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;875.0;4510.75;2291.0;629.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
5345,1304D2007800,Porto,Gondomar,"41.18649663608086, -8.558987097439607",630,20%-39%,Cabine alta,1498.45,229,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1024.75;5165.5;2055.25;55.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5346,1304D2048800,Porto,Gondomar,"41.16523457044955, -8.529274543572663",400,0%-19%,Cabine baixa em edifício próprio,628.76,91,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5892.25;1137.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5347,1304D2048700,Porto,Gondomar,"41.142184056476516, -8.51692063518562",400,20%-39%,Cabine baixa em edifício próprio,860.10,164,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3127.75;4994.25;191.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
5348,1304D2049700,Porto,Gondomar,"41.152025671413064, -8.498982330841104",160,60%-79%,Cabine alta,706.11,80,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;83.5;1958.75;2155.0;1214.5;969.75;829.75;666.75;260.25;0.0;0.0;0.0;0.0),13,1304
5351,1310D2033400,Porto,Paredes,"41.17351548397794, -8.35239541971991",400,0%-19%,Cabine pré-fabricada,625.60,104,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6727.5;1588.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
5391,0119D2004200,Aveiro,Vale de Cambra,"40.845767227503664, -8.394572817852394",400,40%-59%,Cabine baixa em edifício próprio,1599.38,221,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;818.0;3885.25;2607.25;930.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
5392,0119D2008600,Aveiro,Vale de Cambra,"40.82975945774725, -8.399901150008388",250,40%-59%,Aéreo - AI,1022.57,164,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1135.25;3355.0;2649.5;1173.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
5394,0109D2035200,Aveiro,Santa Maria da Feira,"40.950707631713456, -8.48766849847603",250,N/D,Aéreo - AI,659.71,90,N/D,<20,,1,109
5395,0109D2031700,Aveiro,Santa Maria da Feira,"40.96908396413273, -8.45651519326517",100,60%-79%,Aéreo - AI,822.71,118,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;106.75;1264.25;2707.5;2157.0;1270.75;644.25;161.75;0.0;0.0;0.0;0.0),1,109
5409,1318D2016300,Porto,Trofa,"41.29673007550684, -8.60121997611321",400,0%-19%,Cabine baixa em edifício próprio,274.16,43,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8352.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
5410,1318D2002000,Porto,Trofa,"41.33198880267295, -8.556403658895087",500,20%-39%,Cabine alta,1276.24,173,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3012.25;4422.75;880.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
5427,1314D2048300,Porto,Santo Tirso,"41.34497927299553, -8.401275259153023",250,20%-39%,Cabine baixa integrada em edifício,632.35,75,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;620.25;4531.75;2681.25;479.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
5428,1312D2023800,Porto,Porto,"41.15298326565235, -8.631035095522906",1030,20%-39%,Cabine baixa em edifício próprio,2374.01,316,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1462.25;4186.5;2606.0;57.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5429,1312D2063800,Porto,Porto,"41.16004902912391, -8.681724584538662",630,40%-59%,Cabine baixa integrada em edifício,2333.54,207,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3110.0;3506.25;1627.25;29.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5430,1312D2054500,Porto,Porto,"41.16718575680588, -8.60117780197337",630,0%-19%,Cabine subterrânea,424.15,39,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7869.25;442.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5431,1312D2053600,Porto,Porto,"41.17233813346291, -8.657548922824876",630,20%-39%,Cabine subterrânea,1554.81,228,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4372.5;3860.5;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5433,0104D2008600,Aveiro,Arouca,"40.92571314708339, -8.292143272966172",100,60%-79%,Cabine alta,908.08,122,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;231.5;1963.25;2574.0;1915.25;1094.0;533.75;0.0;0.0;0.0;0.0),1,104
5450,0116D2004200,Aveiro,São João da Madeira,"40.90333147348738, -8.479736649923256",630,20%-39%,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;687.25;5840.0;1689.75;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
5451,0116D2013300,Aveiro,São João da Madeira,"40.90628669187543, -8.496494663739266",400,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1034.25;7277.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
5515,1315D2035600,Porto,Valongo,"41.16831138259044, -8.443563238943424",630,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;410.5;4075.25;2546.0;1140.75;135.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
5529,1312D2144200,Porto,Porto,"41.14924853928026, -8.625776725842126",630,N/D,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,,13,1312
5530,1312D2098600,Porto,Porto,"41.16307400872246, -8.661289899740593",400,0%-19%,Cabine baixa em edifício próprio,349.61,25,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7582.75;738.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5531,1312D2069300,Porto,Porto,"41.16185520300464, -8.613734953308205",1260,20%-39%,Cabine baixa integrada em edifício,1663.90,148,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;3822.25;4297.25;186.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5532,1312D2070600,Porto,Porto,"41.17549081673319, -8.664788035752881",630,20%-39%,Cabine baixa integrada em edifício,1866.45,282,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1499.5;5434.5;1376.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
5533,1312D2067900,Porto,Porto,"41.16567149005235, -8.58709028321113",400,20%-39%,Cabine pré-fabricada,523.53,49,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;262.25;4030.75;3004.0;1015.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
