,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
67362,1313D2011600,Porto,Póvoa de Varzim,"41.44746510089887, -8.754360057327698",250,60%-79%,Cabine alta,1759.07,213,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;16.75;1506.5;2119.0;2023.0;1801.5;843.25;0.0;0.0;0.0;0.0;0.0),13,1313
67388,0109D2051400,Aveiro,Santa Maria da Feira,"40.99365455294525, -8.544972541767102",400,N/D,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,,1,109
67389,0109D2056500,Aveiro,Santa Maria da Feira,"41.009066272463606, -8.557782401625332",400,0%-19%,Cabine pré-fabricada,455.08,72,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7333.25;981.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
67392,0113D2011500,Aveiro,Oliveira de Azeméis,"40.788279073442894, -8.481224365352391",250,20%-39%,Cabine baixa em edifício próprio,968.41,132,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.5;6370.0;1859.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
67417,1317D2080100,Porto,Vila Nova de Gaia,"41.108914096065355, -8.598957140667313",400,0%-19%,Cabine baixa em edifício próprio,560.68,71,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7161.0;1151.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67418,1317D2138000,Porto,Vila Nova de Gaia,"41.038388651416085, -8.542752245890966",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8307.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67419,1317D2012400,Porto,Vila Nova de Gaia,"41.067096252557846, -8.578250190544976",630,20%-39%,Cabine alta,1798.96,204,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;950.75;4840.0;2333.0;190.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67420,1317D2052200,Porto,Vila Nova de Gaia,"41.0614472953588, -8.58883180451966",630,20%-39%,Cabine baixa em edifício próprio,1265.39,156,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.75;5917.5;1539.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67421,1317D2013200,Porto,Vila Nova de Gaia,"41.12463175402022, -8.624526239039739",630,0%-19%,Cabine alta,889.11,175,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6697.25;1617.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67428,1313D2011200,Porto,Póvoa de Varzim,"41.38373504598945, -8.761078930534634",630,20%-39%,Cabine baixa integrada em edifício,1213.35,187,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1284.5;6313.25;713.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
67430,1312D2013100,Porto,Porto,"41.16432554351391, -8.662180769465607",1260,20%-39%,Cabine baixa em edifício próprio,2397.79,245,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2682.25;4908.25;720.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67431,1312D2058200,Porto,Porto,"41.157228847734075, -8.642528293074406",630,0%-19%,Cabine subterrânea,1290.40,130,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6723.25;1589.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67440,1304D2024800,Porto,Gondomar,"41.156911250751435, -8.517315315074823",400,0%-19%,Cabine baixa integrada em edifício,875.15,167,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5732.25;2580.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
67468,1318D2001500,Porto,Trofa,"41.335091858135634, -8.56314981838883",630,0%-19%,Cabine alta,218.53,44,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8333.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
67473,1308D2045900,Porto,Matosinhos,"41.23962651689103, -8.72297612867212",400,20%-39%,Cabine baixa em edifício próprio,874.45,101,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113.25;6586.25;1597.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67474,1308D2057900,Porto,Matosinhos,"41.22112822291814, -8.681651551481554",1260,0%-19%,Cabine baixa em edifício próprio,991.30,214,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67485,1316D2038700,Porto,Vila do Conde,"41.35826859091818, -8.621147225076419",100,0%-19%,Aéreo - AS,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
67530,1312D2099000,Porto,Porto,"41.15800528005067, -8.671713869994198",630,0%-19%,Cabine baixa integrada em edifício,1020.72,171,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6843.5;1248.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67531,1312D2121100,Porto,Porto,"41.15185854097646, -8.610436386687038",3150,0%-19%,Cabine baixa integrada em edifício,1495.77,46,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6145.25;2164.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67577,1306D2084400,Porto,Maia,"41.226032366624324, -8.61337962166117",800,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8304.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
67600,1314D2057800,Porto,Santo Tirso,"41.321565321061875, -8.49502226299933",630,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;899.75;7414.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
67601,1317D2113200,Porto,Vila Nova de Gaia,"41.11394581636707, -8.601293910504522",1260,0%-19%,Cabine baixa em edifício próprio,508.20,52,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
