Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2999200;Porto;Porto;41.15404632222729, -8.59364214904943;630;0%-19%;Cabine pré-fabricada;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2019900;Porto;Porto;41.14819731745184, -8.602809855272286;630;0%-19%;Cabine subterrânea;720.86;127;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8332.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2119800;Porto;Porto;41.14996581326311, -8.625541431928408;1260;0%-19%;Cabine baixa integrada em edifício;492.23;44;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074800;Porto;Porto;41.16059470856163, -8.625889186255588;400;20%-39%;Cabine baixa integrada em edifício;867.55;117;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2088.0;4857.25;1366.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2096600;Porto;Porto;41.17345104804054, -8.62660564736976;630;0%-19%;Cabine baixa em edifício próprio;1006.32;114;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4426.0;3883.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2063300;Porto;Porto;41.165192215040044, -8.647416955357885;630;20%-39%;Cabine subterrânea;2010.20;249;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1202.75;4666.75;1474.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2048300;Porto;Porto;41.17039586148622, -8.659145461251978;630;N/D;Cabine subterrânea;2533.45;436;N/D;<20;;13;1312
1312D2102500;Porto;Porto;41.17235419105545, -8.625007668473586;800;N/D;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;;13;1312
1312D2114700;Porto;Porto;41.173640823695656, -8.5879508082966;630;0%-19%;Cabine pré-fabricada;677.09;118;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8314.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2014700;Porto;Porto;41.14706785435124, -8.599855890284529;400;20%-39%;Cabine subterrânea;958.10;130;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;825.0;6210.5;1276.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103700;Porto;Porto;41.183677856847204, -8.608945507725844;630;0%-19%;Cabine metálica (monobloco);1317.35;201;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5359.75;2949.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074900;Porto;Porto;41.16109055212125, -8.59583515391344;400;20%-39%;Cabine baixa em edifício próprio;582.39;60;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;483.0;5141.0;2385.75;302.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2129200;Porto;Porto;41.14895879360282, -8.661137533535136;630;0%-19%;Cabine baixa em edifício próprio;920.01;100;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3501.5;4814.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2076200;Porto;Porto;41.166517315606754, -8.612001296274379;400;0%-19%;Cabine baixa em edifício próprio;663.93;101;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3720.25;4595.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2033100;Porto;Porto;41.15283499392463, -8.648468552490893;630;0%-19%;Cabine baixa em edifício próprio;959.11;151;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6576.25;1738.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082800;Porto;Porto;41.16261645517739, -8.598671729317989;630;0%-19%;Cabine baixa em edifício próprio;1150.56;142;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4258.25;4053.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2117800;Porto;Porto;41.151979603899655, -8.59948284028363;630;0%-19%;Cabine baixa integrada em edifício;917.72;125;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5666.25;2645.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2066800;Porto;Porto;41.1519819676649, -8.67206710134798;630;20%-39%;Cabine subterrânea;1641.00;154;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3618.5;4434.5;258.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2144600;Porto;Porto;41.17443614974472, -8.605003047344946;400;N/D;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;;13;1312
1312D2093900;Porto;Porto;41.166896859785794, -8.672217974650048;630;0%-19%;Cabine baixa em edifício próprio;1080.26;103;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5249.75;3047.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2063200;Porto;Porto;41.15718875832456, -8.628118514116556;2520;0%-19%;Cabine baixa integrada em edifício;1711.74;171;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7735.0;575.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2055200;Porto;Porto;41.148094158462655, -8.61288632552907;1260;20%-39%;Cabine subterrânea;1289.44;96;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.25;4507.75;3737.5;9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2079300;Porto;Porto;41.16357558463523, -8.665600242880142;1260;20%-39%;Cabine baixa em edifício próprio;3296.41;278;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2334.75;4449.5;1527.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2016400;Porto;Porto;41.16144722878588, -8.670652268882625;630;N/D;Cabine subterrânea;938.40;88;N/D;<20;;13;1312
1312D2002600;Porto;Porto;41.159340223071354, -8.581735450130958;630;20%-39%;Cabine baixa integrada em edifício;1206.38;161;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1419.5;4109.0;2743.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2123900;Porto;Porto;41.171430211760125, -8.62799286464173;630;0%-19%;Cabine pré-fabricada;1009.33;112;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7612.75;690.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2042900;Porto;Porto;41.165439733389334, -8.624783229465459;630;20%-39%;Cabine subterrânea;1567.20;215;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242.25;3535.25;2883.75;1650.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2126000;Porto;Porto;41.17703109689162, -8.591342285076546;400;N/D;Cabine pré-fabricada;677.66;118;N/D;<20;;13;1312
1312D2126900;Porto;Porto;41.17595899132714, -8.649026963769105;1260;0%-19%;Cabine pré-fabricada;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8196.0;115.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2134300;Porto;Porto;41.163340666724615, -8.617024779921868;630;N/D;Cabine baixa em edifício próprio;692.30;75;N/D;<20;;13;1312
1312D2104100;Porto;Porto;41.161296710021496, -8.5700000338025;630;20%-39%;Cabine baixa em edifício próprio;970.52;189;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3387.75;4702.75;222.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2087600;Porto;Porto;41.15832067349582, -8.569965151115689;630;0%-19%;Cabine baixa em edifício próprio;736.04;120;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8318.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127800;Porto;Porto;41.164111379723074, -8.599333244361219;630;0%-19%;Cabine baixa integrada em edifício;874.01;111;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2096500;Porto;Porto;41.16748595231363, -8.645909058006215;630;0%-19%;Cabine baixa em edifício próprio;708.05;63;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.25;8291.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2071800;Porto;Porto;41.16037706960354, -8.600139863927794;400;20%-39%;Cabine baixa em edifício próprio;1138.67;150;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1010.5;3343.75;3237.25;721.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103100;Porto;Porto;41.161627573090286, -8.643367485916926;630;20%-39%;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2330.75;1952.75;2941.5;1090.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2055700;Porto;Porto;41.14892347832105, -8.608651761673856;630;0%-19%;Cabine subterrânea;493.35;55;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8179.25;144.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2069400;Porto;Porto;41.15465149652269, -8.644616956288374;630;0%-19%;Cabine baixa em edifício próprio;1141.06;120;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3948.75;4362.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2069500;Porto;Porto;41.17160509097426, -8.615852580884118;630;20%-39%;Cabine baixa em edifício próprio;1672.11;242;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;333.0;5330.75;2640.0;9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2011500;Porto;Porto;41.16390861873437, -8.616144266720108;630;20%-39%;Cabine baixa integrada em edifício;1741.65;266;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2138.5;4727.25;1408.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2100100;Porto;Porto;41.163169262233126, -8.663811803539302;1260;0%-19%;Cabine baixa integrada em edifício;1289.17;128;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7777.5;530.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2030200;Porto;Porto;41.175226109635204, -8.586522832625006;630;20%-39%;Cabine subterrânea;1707.75;252;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1305.0;3885.25;2289.75;831.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043400;Porto;Porto;41.173068339064386, -8.58621224753622;630;20%-39%;Cabine subterrânea;1692.91;250;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.0;4221.0;2957.25;1016.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2122600;Porto;Porto;41.16580899641746, -8.632009699769792;630;0%-19%;Cabine baixa integrada em edifício;569.20;73;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7689.25;621.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2038000;Porto;Porto;41.16453194653258, -8.580755857946212;630;40%-59%;Cabine baixa integrada em edifício;1840.00;403;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1063.5;3307.0;2347.5;1181.25;409.75;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009400;Porto;Porto;41.15679499008163, -8.641055717657592;630;0%-19%;Cabine baixa em edifício próprio;808.45;54;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5862.75;2451.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2106900;Porto;Porto;41.15799336978929, -8.591135455541291;630;0%-19%;Cabine baixa em edifício próprio;722.68;136;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8103.5;215.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2128100;Porto;Porto;41.14521826182194, -8.611536521230141;630;20%-39%;Cabine baixa integrada em edifício;783.01;72;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2394.5;4808.0;1107.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082300;Porto;Porto;41.16486693678395, -8.566351471015185;400;20%-39%;Cabine baixa em edifício próprio;578.09;82;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1772.5;5714.75;824.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082600;Porto;Porto;41.16208731562074, -8.677254169405815;630;20%-39%;Cabine baixa integrada em edifício;1540.16;113;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2600.75;4892.5;819.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2017600;Porto;Porto;41.15465610095062, -8.616374830006643;630;20%-39%;Cabine baixa em edifício próprio;1564.74;163;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;767.25;5410.5;1859.0;3.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075100;Porto;Porto;41.17131709412949, -8.58860441735803;630;20%-39%;Cabine baixa integrada em edifício;1215.86;177;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2154.75;5691.0;466.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2063500;Porto;Porto;41.17273615725577, -8.58146301724971;400;40%-59%;Cabine baixa integrada em edifício;1657.89;281;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;461.25;3443.75;2930.5;1314.75;163.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2094800;Porto;Porto;41.148966562630086, -8.633406173520333;630;0%-19%;Cabine baixa em edifício próprio;1148.24;199;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3643.0;4496.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2077100;Porto;Porto;41.16819054859939, -8.60727345915977;630;20%-39%;Cabine baixa em edifício próprio;1449.76;241;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3003.25;5227.25;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2004100;Porto;Porto;41.14731343320586, -8.616635569786899;630;60%-79%;Cabine subterrânea;1416.88;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;2574.75;2124.75;2105.75;1291.75;199.75;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2034800;Porto;Porto;41.150017195406974, -8.614637466922137;630;40%-59%;Cabine subterrânea;2326.40;255;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;578.25;2049.25;2239.5;2874.5;567.25;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035600;Porto;Porto;41.16683258547157, -8.626820612305917;1260;0%-19%;Cabine subterrânea;1691.92;192;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2180.25;6128.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2024600;Porto;Porto;41.16421815268682, -8.614237316441422;1260;0%-19%;Cabine baixa integrada em edifício;1491.51;233;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.5;4580.0;2822.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2109500;Porto;Porto;41.157342588118475, -8.633690504931806;630;0%-19%;Cabine baixa em edifício próprio;169.51;24;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8664.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2020000;Porto;Porto;41.149647633089074, -8.589058915965436;630;40%-59%;Cabine subterrânea;1269.60;192;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2081.5;3358.0;1897.75;973.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082100;Porto;Porto;41.17635072446013, -8.587410673770131;400;20%-39%;Cabine baixa em edifício próprio;1866.99;270;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2711.75;3241.25;2319.5;36.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2078600;Porto;Porto;41.15173310290536, -8.590904398800916;630;0%-19%;Cabine baixa integrada em edifício;674.72;97;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7714.0;599.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2105800;Porto;Porto;41.16637931798886, -8.589931102476644;630;0%-19%;Cabine baixa em edifício próprio;781.53;98;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7930.5;386.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075600;Porto;Porto;41.154022080394725, -8.627078770023116;1260;0%-19%;Cabine baixa integrada em edifício;1521.56;200;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4218.0;4095.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2120600;Porto;Porto;41.14827027924256, -8.635881858674074;630;0%-19%;Cabine baixa integrada em edifício;664.71;69;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2007500;Porto;Porto;41.14827804583662, -8.60592124182165;1260;20%-39%;Cabine baixa integrada em edifício;1019.27;122;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4028.75;2610.75;1586.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2040400;Porto;Porto;41.15584520954956, -8.602364033984587;630;20%-39%;Cabine subterrânea;802.16;80;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3475.5;4652.5;183.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2057700;Porto;Porto;41.145647793176764, -8.62886226283629;630;0%-19%;Cabine baixa em edifício próprio;1122.49;126;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1835.25;6483.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2076400;Porto;Porto;41.15121880695368, -8.628550947882305;630;20%-39%;Cabine baixa em edifício próprio;911.65;120;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2349.5;5353.5;610.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2113500;Porto;Porto;41.15970718636388, -8.613330647142078;400;0%-19%;Cabine baixa integrada em edifício;319.79;54;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8274.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2042600;Porto;Porto;41.16480310040304, -8.626896898140314;630;0%-19%;Cabine subterrânea;1056.88;102;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5226.25;3087.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035300;Porto;Porto;41.150132572375206, -8.591109427408366;630;20%-39%;Cabine subterrânea;2390.87;376;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;411.25;3927.5;3432.25;540.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035800;Porto;Porto;41.17021708738285, -8.651725230506562;1260;20%-39%;Cabine baixa em edifício próprio;2282.24;459;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2705.5;4920.25;684.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070100;Porto;Porto;41.152695327286416, -8.602721020440368;1030;0%-19%;Cabine baixa integrada em edifício;2784.16;443;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4466.25;3847.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2012200;Porto;Porto;41.158455791568954, -8.632757194570077;1260;20%-39%;Cabine subterrânea;1834.75;197;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1743.75;5204.5;608.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2058000;Porto;Porto;41.1715378359971, -8.625621363981756;630;20%-39%;Cabine baixa em edifício próprio;957.95;117;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;710.5;6790.25;810.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2100700;Porto;Porto;41.171057280165535, -8.652212189049887;400;20%-39%;Cabine baixa integrada em edifício;817.65;123;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2127.5;5201.5;989.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2000500;Porto;Porto;41.14997982363199, -8.607130564683011;1890;N/D;Cabine baixa integrada em edifício;2982.15;379;N/D;<20;;13;1312
1312D2052800;Porto;Porto;41.145120139603904, -8.607110897410871;1260;0%-19%;Cabine subterrânea;839.50;112;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4288.5;3886.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2129400;Porto;Porto;41.149378346495105, -8.643197193591291;630;0%-19%;Cabine baixa em edifício próprio;313.95;37;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2144800;Porto;Porto;41.16525334157354, -8.681645102894516;400;N/D;Cabine baixa integrada em edifício;641.72;55;N/D;<20;;13;1312
1312D2128400;Porto;Porto;41.15529713916283, -8.651308546834736;630;0%-19%;Cabine baixa em edifício próprio;949.90;87;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2106700;Porto;Porto;41.18176375540179, -8.645583341283414;400;20%-39%;Cabine baixa em edifício próprio;930.85;116;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2417.25;3863.0;1397.25;633.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2065000;Porto;Porto;41.175431793555624, -8.612202932863836;400;20%-39%;Cabine baixa em edifício próprio;377.20;66;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3729.75;4158.25;424.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103800;Porto;Porto;41.18286069995597, -8.608613947363837;630;0%-19%;Cabine metálica (monobloco);558.91;82;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7771.5;541.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127700;Porto;Porto;41.1556263326291, -8.628743155840239;1260;N/D;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;;13;1312
1312D2039100;Porto;Porto;41.145488703820845, -8.612277628108183;630;20%-39%;Cabine subterrânea;1909.34;231;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;409.75;3240.25;4121.25;540.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2099500;Porto;Porto;41.16165448218541, -8.68261702644535;400;20%-39%;Cabine baixa integrada em edifício;972.91;100;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3734.75;4554.5;23.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
