Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2128300;Porto;Porto;41.17602312751722, -8.633993833301997;630;0%-19%;Cabine pré-fabricada;869.42;141;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7236.0;1085.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074200;Porto;Porto;41.161348080512575, -8.615433569871868;800;0%-19%;Cabine baixa em edifício próprio;1305.25;135;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5474.25;2837.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2102600;Porto;Porto;41.167468210954134, -8.687651977254665;630;0%-19%;Cabine baixa integrada em edifício;491.06;49;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6316.5;1996.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2092700;Porto;Porto;41.17194359522984, -8.635877095212665;630;0%-19%;Cabine baixa em edifício próprio;925.34;129;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6170.25;2106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2104600;Porto;Porto;41.17127094031307, -8.616755932704711;630;0%-19%;Cabine baixa em edifício próprio;798.11;137;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7660.25;654.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074400;Porto;Porto;41.17929156838195, -8.582038057843784;400;40%-59%;Cabine baixa integrada em edifício;1790.56;277;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.0;3005.75;3661.0;1460.25;89.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2107200;Porto;Porto;41.1660130293169, -8.645218287246095;630;0%-19%;Cabine baixa em edifício próprio;824.84;105;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8275.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2023100;Porto;Porto;41.16173981969512, -8.61673936826797;630;20%-39%;Cabine subterrânea;1636.98;253;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1454.5;5166.5;1690.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093300;Porto;Porto;41.17607012978293, -8.623897006198685;630;0%-19%;Cabine baixa em edifício próprio;986.61;182;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7966.5;342.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2045400;Porto;Porto;41.15927731985137, -8.683927179125657;630;20%-39%;Cabine subterrânea;1451.22;115;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;306.25;4374.0;3631.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
