Quarter;District;Municipality;Parish;Maximum Admissible Power (kW);Connection points for electric vehicles charging stations;DistrictCode;DistrictMunicipalityCode;DistrictMunicipalityParishCode
2025T1;Porto;Porto;Lordelo do Ouro e Massarelos;1260.0;1;13;1312;131218
2025T1;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;630.0;1;13;1308;130814
2025T1;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;350.0;1;13;1308;130814
2025T1;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;300.0;1;13;1308;130814
2025T1;Porto;Matosinhos;Matosinhos e Leça da Palmeira;800.0;2;13;1308;130812
2025T1;Porto;Amarante;Amarante (São Gonçalo), Madalena, Cepelos e Gatão;90.0;1;13;1301;130142
2025T1;Porto;Gondomar;Baguim do Monte (Rio Tinto);3.45;1;13;1304;130412
2025T1;Porto;Gondomar;Baguim do Monte (Rio Tinto);10.35;1;13;1304;130412
2025T1;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;14400.0;1;13;1317;131727
2025T1;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;89.7;1;13;1317;131727
2025T1;Porto;Vila Nova de Gaia;Serzedo e Perosinho;6.9;1;13;1317;131731
2025T1;Porto;Penafiel;Penafiel;13.8;1;13;1311;131139
2025T1;Porto;Penafiel;Penafiel;140.0;1;13;1311;131139
2025T1;Porto;Penafiel;Abragão;120.0;1;13;1311;131101
2025T1;Porto;Penafiel;Galegos;100.0;1;13;1311;131113
2025T1;Porto;Maia;Moreira;13.8;2;13;1306;130609
2025T1;Porto;Maia;Nogueira e Silva Escura;20.7;1;13;1306;130620
2025T1;Porto;Maia;Castêlo da Maia;160.0;1;13;1306;130618
2025T1;Porto;Maia;Águas Santas;200.0;1;13;1306;130601
2025T1;Porto;Vila do Conde;Modivas;2000.0;1;13;1316;131617
2025T1;Porto;Gondomar;Fânzeres e São Pedro da Cova;110.0;2;13;1304;130413
2025T1;Porto;Paços de Ferreira;Frazão Arreigada;199.0;1;13;1309;130917
2025T1;Porto;Paredes;Paredes;170.0;2;13;1310;131025
2025T1;Porto;Póvoa de Varzim;Laundos;1950.0;1;13;1313;131308
2025T1;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;250.0;2;13;1313;131313
2025T1;Porto;Lousada;Silvares, Pias, Nogueira e Alvarenga;41.4;2;13;1305;130532
2025T1;Porto;Maia;Águas Santas;10.35;1;13;1306;130601
2025T1;Porto;Maia;Moreira;90.0;1;13;1306;130609
2025T1;Porto;Gondomar;Fânzeres e São Pedro da Cova;200.0;1;13;1304;130413
2025T1;Porto;Paredes;Paredes;10.35;1;13;1310;131025
2025T1;Porto;Paredes;Paredes;41.4;1;13;1310;131025
2025T1;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;160.0;1;13;1317;131730
2025T1;Porto;Vila do Conde;Modivas;41.4;2;13;1316;131617
2025T1;Porto;Lousada;Cristelos, Boim e Ordem;472.5;1;13;1305;130528
2025T1;Porto;Marco de Canaveses;Vila Boa do Bispo;110.4;1;13;1307;130730
2025T1;Porto;Valongo;Alfena;13.8;2;13;1315;131501
2025T1;Porto;Valongo;Valongo;472.5;1;13;1315;131505
2025T1;Porto;Penafiel;Bustelo;20.7;1;13;1311;131103
2025T1;Porto;Porto;Lordelo do Ouro e Massarelos;316.8;1;13;1312;131218
2025T1;Porto;Porto;Ramalde;70.0;1;13;1312;131211
2025T1;Porto;Porto;Ramalde;130.0;1;13;1312;131211
2025T1;Porto;Porto;Bonfim;10.35;1;13;1312;131202
2025T1;Porto;Porto;Campanhã;27.6;1;13;1312;131203
2025T1;Porto;Vila do Conde;Bagunte, Ferreiró, Outeiro Maior e Parada;27.6;1;13;1316;131631
2025T1;Porto;Santo Tirso;Água Longa;13.8;1;13;1314;131402
2025T1;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;6.9;2;13;1314;131437
2025T1;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;3600.0;1;13;1314;131437
2025T1;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;1260.0;1;13;1314;131437
2025T1;Porto;Matosinhos;Matosinhos e Leça da Palmeira;20000.0;1;13;1308;130812
2025T1;Porto;Matosinhos;Matosinhos e Leça da Palmeira;82.05;1;13;1308;130812
2025T1;Porto;Porto;Paranhos;400.0;1;13;1312;131210
2025T2;Porto;Porto;Paranhos;1125.0;1;13;1312;131210
2025T2;Porto;Porto;Paranhos;13.8;1;13;1312;131210
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;34.5;3;13;1312;131217
2025T2;Porto;Valongo;Ermesinde;20.7;1;13;1315;131503
2025T1;Porto;Trofa;Bougado (São Martinho e Santiago);300.0;1;13;1318;131810
2025T2;Porto;Maia;Águas Santas;6.9;4;13;1306;130601
2025T2;Porto;Maia;Moreira;6.9;1;13;1306;130609
2025T1;Porto;Maia;Pedrouços;6.9;1;13;1306;130617
2025T2;Porto;Maia;Cidade da Maia;172.5;1;13;1306;130619
2025T2;Porto;Maia;Cidade da Maia;472.5;1;13;1306;130619
2025T2;Porto;Maia;Nogueira e Silva Escura;13.8;3;13;1306;130620
2025T1;Porto;Paços de Ferreira;Carvalhosa;140.0;1;13;1309;130902
2025T1;Porto;Póvoa de Varzim;Rates;10.35;1;13;1313;131311
2025T2;Porto;Trofa;Coronado (São Romão e São Mamede);300.0;1;13;1318;131811
2025T2;Porto;Trofa;Bougado (São Martinho e Santiago);100.0;1;13;1318;131810
2025T2;Porto;Trofa;Bougado (São Martinho e Santiago);93.0;1;13;1318;131810
2025T2;Porto;Maia;Nogueira e Silva Escura;10.35;2;13;1306;130620
2025T2;Porto;Maia;Águas Santas;100.0;1;13;1306;130601
2025T2;Porto;Vila do Conde;Vila do Conde;340.0;1;13;1316;131628
2025T1;Porto;Vila Nova de Gaia;Canelas;50.0;1;13;1317;131703
2025T1;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;1875.0;1;13;1317;131730
2025T2;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;34.5;1;13;1317;131726
